Matricule,adresse,proprietaire,Valeur_terrain,Valeur_batiment,Valeur_immeuble,Description_cadastrale
2664-79-1920-0-000-0000,"2e Rang, Sacré-Coeur","Ville de Rimouski ",2700,0,2700,2896521
2665-57-7748-0-000-0000,"rue de Lausanne","Ville de Rimouski ",95100,0,95100,2896525
2666-19-0536-0-000-0000,"rue Guy","Ville de Rimouski ",59300,0,59300,2896559
2666-38-5975-0-000-0000,"boulevard Henri-Bourassa","Ville de Rimouski ",249000,0,249000,2895170
2666-49-7788-0-000-0000,"rue de Lausanne","Ville de Rimouski ",33000,60400,93400,2895328
2666-54-0899-0-000-0000,"rue Frédéric-Rousseau","Ville de Rimouski ",70500,0,70500,2896609
2666-68-8194-0-000-0000,"rue Duquesne","Ville de Rimouski ",23600,0,23600,2894519
2666-94-2507-0-000-0000,"rue du Marquis-de-Vaudreuil","Ville de Rimouski ",29100,0,29100,"2894491, 2895880, 2895881, 2895882, 2896633, 2896526"
2667-30-2905-0-000-0000,"rue des Mélèzes","Ville de Rimouski ",200,0,200,3738643
2667-30-3667-0-000-0000,"rue des Mélèzes","Ville de Rimouski ",120000,0,120000,2895295
2667-35-9987-0-000-0000,"rue Laurier","Ville de Rimouski ",200,0,200,2895212
2667-66-5894-0-000-0000,"rue Radisson","Ville de Rimouski ",80500,0,80500,2895002
2667-74-4263-0-000-0000,"rue de Lausanne","Ville de Rimouski ",1500,0,1500,5050167
2667-75-3450-0-000-0000,"479 rue La Salle","Ville de Rimouski ",59500,103500,163000,2895530
2667-87-1862-0-000-0000,"rue Rouer","Ville de Rimouski ",100,0,100,2894979
2671-30-8323-0-000-0000,"ile Saint-Barnabé","Ville de Rimouski ",6200,0,6200,2894562
2671-62-6735-0-000-0000,"ile Saint-Barnabé","Ville de Rimouski ",7400,0,7400,2894564
2671-72-0873-0-000-0000,"ile Saint-Barnabé","Ville de Rimouski ",3700,22500,26200,2894570
2671-73-6958-0-000-0000,"ile Saint-Barnabé","Ville de Rimouski ",8800,29100,37900,2894567
2760-99-8929-0-000-0000,"chemin Beauséjour","Ville de Rimouski ",300,0,300,3181042
2765-13-6545-0-000-0000,"rue Tessier","Ville de Rimouski ",32800,0,32800,3181259
2765-28-5008-0-000-0000,"rue Tessier, Rimouski","Ville de Rimouski ",30700,0,30700,3181311
2765-34-3324-0-000-0000,"rue Tessier","Ville de Rimouski ",7100,0,7100,5300168
2765-88-8259-0-000-0000,"rue des Morilles","Ville de Rimouski ",42800,0,42800,5750284
2765-98-4177-0-000-0000,"rue des Agarics","Ville de Rimouski ",93400,0,93400,3671757
2766-31-4857-0-000-0000,"rue de la Savane","Ville de Rimouski ",3600,0,3600,3181607
2766-43-1492-0-000-0000,"505 rue des Écarts","Ville de Rimouski ",835700,771400,1607100,3181384
2766-43-6720-0-000-0000,"516 rue Tessier","Ville de Rimouski ",34700,0,34700,3935651
2766-76-8874-0-000-0000,"400 boulevard de la Rivière","Ville de Rimouski ",1458700,819600,2278300,"2487064, 2487113, 2487114, 2487115, 2487116, 2487117, 2487255, 2487256, 2487257, 2487258, 2487259, 3181257, 3181310, 3181852, 3184014, 3184015, 3184016, 3184017, 3184018, 3184019, 3184020, 3184021, 3184022, 3184023, 3265993, 3447634, 3447635, 4816331"
2766-80-4897-0-000-0000,"rue des Agarics, Rimouski","Ville de Rimouski ",67700,0,67700,"3671766, 3671798"
2766-81-4187-0-000-0000,"rue Alexandre-Chauveau","Ville de Rimouski ",7900,0,7900,"3671793, 4264595"
2766-94-4148-0-000-0000,"montée Sainte-Odile","Ville de Rimouski ",12100,0,12100,3182699
2767-01-3168-0-000-0000,"boulevard Saint-Germain","Ville de Rimouski ",100,0,100,2895061
2767-14-0990-0-000-0000,"455 rue Cartier, Rimouski","Ville de Rimouski ",896600,807700,1704300,2895656
2767-15-9445-0-000-0000,"45 rue De Verchères, Rimouski","Ville de Rimouski ",231800,0,231800,2895886
2767-50-1277-0-000-0000,"rue William-Price","Ville de Rimouski ",800,0,800,"2895052, 2486701"
2767-59-0341-0-000-0000,"boulevard Saint-Germain","Ville de Rimouski ",118900,188700,307600,"2485794, 2486049, 2485264, 2485253, 2486521, 2486509"
2767-83-7463-0-000-0000,"boulevard Saint-Germain","Ville de Rimouski ",2000,0,2000,2486520
2767-89-5143-0-000-0000,"rue Saint-Germain Ouest","Ville de Rimouski ",11000,0,11000,2485853
2858-08-5977-0-000-0000,"chemin Beauséjour","Ville de Rimouski ",4600,0,4600,3181012
2861-67-2071-0-000-0000,"rue Jalna","Ville de Rimouski ",13000,0,13000,3180956
2861-96-9636-0-000-0000,"chemin des Pointes","Ville de Rimouski ",19500,0,19500,3181200
2865-88-5963-0-000-0000,"rue du Curé-Destroismaisons","Ville de Rimouski ",2700,0,2700,3183563
2866-02-1897-0-000-0000,"montée Sainte-Odile, Rimouski","Ville de Rimouski ",100,0,100,3181752
2866-07-6195-0-000-0000,"rue Tessier","Ville de Rimouski ",36700,0,36700,3183808
2866-18-5694-0-000-0000,"rue Tessier","Ville de Rimouski ",36000,0,36000,2487284-1
2866-19-8006-0-000-0000,"rue Tessier","Ville de Rimouski ",100,0,100,2487284-2
2866-24-5383-0-000-0000,"rue des Faisans","Ville de Rimouski ",58000,0,58000,"3182777, 4473416, 5054932"
2866-29-1235-0-000-0000,"rue Tessier","Ville de Rimouski ",100,0,100,2487266
2866-31-6382-0-000-0000,"rue des Fauvettes","Ville de Rimouski ",2700,0,2700,3183887
2866-41-2421-0-000-0000,"rue des Fauvettes","Ville de Rimouski ",6400,0,6400,3183904
2866-43-8398-0-000-0000,"rue des Geais","Ville de Rimouski ",200,0,200,3183836
2866-44-1573-0-000-0000,"rue des Geais","Ville de Rimouski ",12500,0,12500,2487228
2866-59-9787-0-000-0000,"2e rue Ouest, Rimouski","Ville de Rimouski ",67800,0,67800,2487532
2866-60-2551-0-000-0000,"rue des Sarcelles","Ville de Rimouski ",85300,0,85300,3183947
2866-67-6820-0-000-0000,"avenue Ross","Ville de Rimouski ",56600,0,56600,"2487708, 2487221"
2866-73-8160-0-000-0000,"rue des Pinsons","Ville de Rimouski ",95700,0,95700,2487777-P
2866-77-0391-0-000-0000,"rue Louis-Bertrand","Ville de Rimouski ",51300,0,51300,2487599
2866-82-7267-0-000-0000,"387 rue des Passereaux","Ville de Rimouski ",1213700,567100,1780800,2487741
2867-31-4903-0-000-0000,"rue Georges-Sylvain","Ville de Rimouski ",32700,0,32700,2746845
2867-80-7292-0-000-0000,"358 avenue Sirois","Ville de Rimouski ",708100,1172200,1880300,2488090
2868-00-8269-0-000-0000,"rue Saint-Germain Ouest","Ville de Rimouski ",806600,87500,894100,2485855
2868-42-3290-0-000-0000,"rue Saint-Germain Ouest","Ville de Rimouski ",422800,0,422800,5723181
2868-65-6348-0-000-0000,"50 rue Saint-Germain Ouest","Ville de Rimouski ",1126200,1315400,2441600,2485854
2868-70-5167-0-000-0000,"203 - 207 rue Saint-Louis","Ville de Rimouski ",527700,838900,1366600,2485856
2868-74-4573-0-000-0000,"25 rue Saint-Germain Ouest","Ville de Rimouski ",692000,17945000,18637000,"2485993, 3081045, 3081044"
2868-80-1531-0-000-0000,"95 rue de l'Évêché Ouest","Ville de Rimouski ",93000,239200,332200,2486012
2868-93-6330-0-000-0000,"189 - 207 avenue de la Cathédrale","Ville de Rimouski ",1633800,4018700,5652500,"2486056, 2486052"
2868-94-6731-0-000-0000,"184 - 186 avenue de la Cathédrale","Ville de Rimouski ",109600,1248500,1358100,2485201
2961-05-6966-0-000-0000,"160 chemin des Pointes, Rimouski","Ville de Rimouski ",69300,203900,273200,3181202
2961-06-2508-0-000-0000,"chemin des Pointes","Ville de Rimouski ",31000,0,31000,3181201
2961-16-1033-0-000-0000,"rue de la Pinède","Ville de Rimouski ",25700,0,25700,3181209
2965-28-3691-0-000-0000,"rue du Père-Joseph-Jean","Ville de Rimouski ",114000,0,114000,2487038
2966-09-4029-0-000-0000,"avenue Sirois","Ville de Rimouski ",317200,0,317200,4508490
2966-32-8350-0-000-0000,"rue Saucier","Ville de Rimouski ",117200,0,117200,2746858-1
2966-32-9682-0-000-0000,"rue Ernest-Lapointe","Ville de Rimouski ",66900,0,66900,2746858-2
2966-42-1460-0-000-0000,"rue Ernest-Lapointe","Ville de Rimouski ",25500,0,25500,2746858-3
2966-54-8228-0-000-0000,"rue Godbout","Ville de Rimouski ",314300,0,314300,2489128
2966-79-7124-0-000-0000,"rue Robert-Joncas","Ville de Rimouski ",42100,0,42100,2488865
2966-89-2625-0-000-0000,"rue Robert-Joncas","Ville de Rimouski ",52400,0,52400,2746901
2966-89-7480-0-000-0000,"boulevard Arthur-Buies Ouest","Ville de Rimouski ",1111300,0,1111300,"4046637, 4046636"
2967-19-5752-0-000-0000,"rue Saint-Laurent Ouest","Ville de Rimouski ",255000,0,255000,4924765
2967-20-5030-0-000-0000,"383 rue de la Seigneuresse","Ville de Rimouski ",4222900,105400,4328300,"2487012, 4045163"
2967-24-6727-0-000-0000,"111 2e rue Ouest","Ville de Rimouski ",1970700,11121100,13091800,"2746855, 2746856"
2967-29-5687-0-000-0000,"313 avenue de la Cathédrale","Ville de Rimouski ",671300,1787400,2458700,4924770
2967-35-9596-0-000-0000,"77 2e rue Ouest","Ville de Rimouski ",876900,4999400,5876300,"2488465, 2488464"
2967-63-0816-0-000-0000,"416 avenue Rouleau","Ville de Rimouski ",7167700,3924400,11092100,"2488463, 2746938, 2746939"
2967-99-3551-0-000-0000,"rue Élisabeth-Turgeon","Ville de Rimouski ",197800,0,197800,2486301
2968-11-6942-0-000-0000,"275 avenue de la Cathédrale","Ville de Rimouski ",152700,293900,446600,2487003
2968-13-4362-0-000-0000,"rue de l'Évêché Est, Rimouski","Ville de Rimouski ",626800,0,626800,2485098
2968-17-3032-0-000-0000,"rue Saint-Germain Est","Ville de Rimouski ",199800,0,199800,3412507
2968-17-7670-0-000-0000,"105 rue Saint-Germain Est","Ville de Rimouski ",215100,0,215100,2485466
2968-20-5245-0-000-0000,"11 rue Saint-Laurent Ouest","Ville de Rimouski ",610700,2785900,3396600,2487011
2968-36-0851-0-000-0000,"110 rue de l'Évêché Est","Ville de Rimouski ",908600,2926300,3834900,2485368
2968-90-5682-0-000-0000,"rue Élisabeth-Turgeon","Ville de Rimouski ",23700,0,23700,2486342
2968-91-7704-0-000-0000,"avenue Belzile","Ville de Rimouski ",23700,0,23700,2486275
2969-22-1971-0-000-0000,"boulevard René-Lepage Est","Ville de Rimouski ",226800,1002400,1229200,2485168
2969-40-8708-0-000-0000,"175 rue Dumais","Ville de Rimouski ",166100,445600,611700,2485440
2969-45-5753-0-001-0001,"333 boulevard René-Lepage Est","Ville de Rimouski ",1331300,0,1331300,"2484264-P, 2464265-P, 2464266-P, 2484263-P, 2484259, 2484261, 2484262, 2484256, 3085752"
2969-45-5753-0-001-0003,"333 boulevard René-Lepage Est","Ville de Rimouski ",45000,0,45000,"2484264-P, 2464265-P, 2464266-P, 2484263-P, 2484253"
2969-45-5753-0-001-0004,"333 boulevard René-Lepage Est","Ville de Rimouski ",107800,0,107800,"2484264-P, 2464265-P, 2464266-P, 2484263-P, 2484251, 2484252, 2484255"
2969-45-5753-0-001-0005,"333 boulevard René-Lepage Est","Ville de Rimouski ",35900,0,35900,"2484264-P, 2464265-P, 2464266-P, 2484263-P, 2484250"
2969-45-5753-0-001-0006,"333 boulevard René-Lepage Est","Ville de Rimouski ",61900,0,61900,"2484264-P, 2464265-P, 2464266-P, 2484263-P, 2484249"
2969-45-5753-0-001-0007,"333 boulevard René-Lepage Est","Ville de Rimouski ",384100,0,384100,"2484264-P, 2464265-P, 2464266-P, 2484263-P, 2484257, 2484258"
2969-45-5753-0-001-0008,"333 boulevard René-Lepage Est","Ville de Rimouski ",21000,0,21000,"2484264-P, 2464265-P, 2464266-P, 2484263-P, 2484260"
2969-54-1891-0-000-0000,"rue Saint-Germain Est","Ville de Rimouski ",73400,0,73400,2485189
2969-57-0564-0-000-0000,"rue Saint-Germain Est","Ville de Rimouski ",73000,0,73000,"3617286, 3447622"
2969-75-4988-0-000-0000,"129 rue Talbot","Ville de Rimouski ",1296100,771900,2068000,"3183356, 3183376, 3604156, 2486676"
2969-83-1636-0-000-0000,"rue Boisbrillant","Ville de Rimouski ",89200,0,89200,2485572
2969-92-7904-0-000-0000,"rue Saint-Pierre","Ville de Rimouski ",100,0,100,2485622
2969-98-0864-0-000-0000,"rue Saint-Pierre","Ville de Rimouski ",84300,0,84300,3183238
2970-40-4303-0-000-0000,"rue Saint-Germain Est, Rimouski","Ville De Rimouski ",6200,0,6200,3672690
2970-42-7311-0-000-0000,"rue Saint-Germain Est","Ville de Rimouski ",35900,0,35900,"3672688, 3672689"
2970-66-4129-0-000-0000,"rue Saint-Germain","Ville de Rimouski ",30800,0,30800,3182809
2970-77-2412-0-000-0000,"rue Saint-Germain","Ville de Rimouski ",42700,0,42700,3183177
2970-94-6789-0-000-0000,"montée Industrielle-et-Commerciale, Rimouski","Ville de Rimouski ",17100,0,17100,4378451
2971-91-6472-0-000-0000,"rue Saint-Germain","Ville de Rimouski ",65500,0,65500,"4741653, 2968255-P"
2971-93-5700-0-000-0000,"540 rue Saint-Germain","Ville de Rimouski ",206100,689300,895400,2968135
3066-12-0730-0-000-0000,"rue de Provence, Rimouski","Ville De Rimouski ",81700,0,81700,"4815529, 4429085, 4815524, 4474602, 4474535"
3066-24-0948-0-000-0000,"rue du Poitou","Ville de Rimouski ",18500,0,18500,4523453
3066-25-5450-0-000-0000,"rue de la Charente","Ville de Rimouski ",5500,0,5500,4523450
3066-25-6563-0-000-0000,"rue de la Charente","Ville de Rimouski ",5400,0,5400,4523449
3066-25-8643-0-000-0000,"100 rue du Poitou, Rimouski","Ville de Rimouski ",62600,0,62600,4523446
3066-33-6440-0-000-0000,"2e Rang Ouest","Ville de Rimouski ",42500,0,42500,3182584
3066-34-8877-0-000-0000,"rue de la Picardie, Rimouski","Ville de Rimouski ",67900,0,67900,4523467
3066-34-9751-0-000-0000,"rue de la Picardie, Rimouski","Ville de Rimouski ",58100,0,58100,4523466
3066-35-8901-0-000-0000,"rue de la Picardie, Rimouski","Ville de Rimouski ",62000,0,62000,4523468
3066-35-9125-0-000-0000,"rue de la Picardie, Rimouski","Ville de Rimouski ",51700,0,51700,4523469
3066-44-3894-0-000-0000,"rue de la Picardie, Rimouski","Ville de Rimouski ",55500,0,55500,4523463
3066-44-4171-0-000-0000,"rue de la Picardie, Rimouski","Ville de Rimouski ",56800,0,56800,4523464
3066-44-4840-0-000-0000,"rue de la Picardie, Rimouski","Ville De Rimouski ",47900,0,47900,"4523465, 3182573"
3066-45-3919-0-000-0000,"rue de la Picardie","Ville de Rimouski ",60700,0,60700,4523462
3066-45-3946-0-000-0000,"rue de la Picardie, Rimouski","Ville de Rimouski ",70200,0,70200,4523460
3066-67-7682-0-000-0000,"chemin du Sommet Est","Ville de Rimouski ",28500,0,28500,3182872
3067-19-2077-0-000-0000,"avenue Belzile","Ville de Rimouski ",12100,0,12100,3297974
3067-43-4145-0-000-0000,"rue Hupé","Ville de Rimouski ",50000,0,50000,2484799
3067-43-5631-0-000-0000,"rue Hupé","Ville de Rimouski ",50000,0,50000,2484798
3067-70-2799-0-000-0000,"rue Sylvain-Lelièvre","Ville de Rimouski ",67200,0,67200,5793997
3067-70-4182-0-000-0000,"rue Sylvain-Lelièvre","Ville de Rimouski ",77500,0,77500,5793998
3067-70-6465-0-000-0000,"rue Sylvain-Lelièvre","Ville de Rimouski ",82000,0,82000,5793999
3067-71-7930-0-000-0000,"rue Sylvain-Lelièvre","Ville de Rimouski ",81500,0,81500,5793994
3067-71-9748-0-000-0000,"rue Sylvain-Lelièvre","Ville de Rimouski ",65200,0,65200,5793993
3067-79-6910-0-000-0000,"rue Marie-Anna-Charon","Ville de Rimouski ",93800,0,93800,"2486294, 3811800, 2486317, 3811819, 3976308, 3976333, 4161456, 4161490, 5174414, 4785203, 4785208"
3067-80-2182-0-000-0000,"rue Sylvain-Lelièvre","Ville de Rimouski ",67400,0,67400,5794001
3067-81-1163-0-000-0000,"rue Sylvain-Lelièvre","Ville de Rimouski ",65200,0,65200,5793992
3067-81-4092-0-000-0000,"rue Sylvain-Lelièvre","Ville de Rimouski ",65200,0,65200,5793990
3067-81-5014-0-000-0000,"rue Sylvain-Lelièvre","Ville de Rimouski ",58100,0,58100,5794003
3067-81-6528-0-000-0000,"rue Sylvain-Lelièvre","Ville de Rimouski ",59900,0,59900,5794004
3067-81-8041-0-000-0000,"rue Sylvain-Lelièvre","Ville de Rimouski ",61600,0,61600,5794005
3067-82-5407-0-000-0000,"rue Sylvain-Lelièvre","Ville de Rimouski ",65200,0,65200,5793989
3067-82-6822-0-000-0000,"rue Sylvain-Lelièvre","Ville de Rimouski ",65300,0,65300,5793988
3067-82-9751-0-000-0000,"rue Sylvain-Lelièvre","Ville de Rimouski ",66000,0,66000,5793986
3067-91-1068-0-000-0000,"rue Sylvain-Lelièvre","Ville de Rimouski ",65200,0,65200,5794007
3067-91-3796-0-000-0000,"rue Sylvain-Lelièvre","Ville de Rimouski ",63900,0,63900,5794009
3067-92-1671-0-000-0000,"rue Sylvain-Lelièvre","Ville de Rimouski ",82700,0,82700,5793985
3067-92-6102-0-000-0000,"rue Sylvain-Lelièvre","Ville de Rimouski ",84200,0,84200,5794010
3067-92-7719-0-000-0000,"rue Sylvain-Lelièvre","Ville de Rimouski ",81200,0,81200,5794011
3068-22-7292-0-000-0000,"2e rue Est","Ville de Rimouski ",193100,0,193100,"4779012, 4779013"
3068-29-1923-0-000-0000,"rue Corneau","Ville De Rimouski ",236000,34400,270400,5292670
3068-41-8151-0-000-0000,"boulevard Arthur-Buies Est, Rimouski","Ville de Rimouski ",171500,0,171500,4979927
3068-52-0913-0-000-0000,"boulevard Arthur-Buies Est","Ville de Rimouski ",186900,0,186900,5788995
3068-55-2932-0-000-0000,"280 boulevard Arthur-Buies Est","Ville de Rimouski ",303300,1483800,1787100,4682409
3068-92-0635-0-000-0000,"rue Pascal-Parent, Rimouski","Ville de Rimouski ",44900,0,44900,4365493
3068-92-5683-0-000-0000,"avenue Belzile, Rimouski","Ville de Rimouski ",107400,0,107400,"4365511, 3844635"
3069-06-6221-0-000-0000,"rue des Chevaliers","Ville de Rimouski ",137300,31400,168700,"2485647, 3447476, 3447504, 2485499"
3069-33-9777-0-000-0000,"rue de l'Évêché Est","Ville de Rimouski ",299300,28400,327700,3703703
3069-42-5915-0-000-0000,"305 rue Elzéar-Sasseville","Ville de Rimouski ",870600,620300,1490900,3183461
3070-12-5599-0-000-0000,"montée Industrielle-et-Commerciale, Rimouski","Ville de Rimouski ",1500,0,1500,3885074
3070-15-6280-0-000-0000,"rue de l'Expansion, Rimouski","Ville de Rimouski ",54900,0,54900,3447463
3070-34-4299-0-000-0000,"rue de l'Expansion, Rimouski","Ville de Rimouski ",2800,0,2800,3183073
3070-37-1162-0-000-0000,"avenue Goulet","Ville de Rimouski ",103300,0,103300,"3631057, 4303396, 4303397"
3070-40-3445-0-000-0000,"rue Jean-Marie-Leblanc","Ville de Rimouski ",2000,0,2000,3675714
3070-90-2091-0-000-0000,"rue des Négociants, Rimouski","Ville de Rimouski ",16600,0,16600,"3183031, 4609912"
3070-96-3133-0-000-0000,"avenue du Havre","Ville de Rimouski ",583600,0,583600,"2968125, 3162585, 4271538, 5895260"
3071-00-4384-0-000-0000,"avenue Impériale","Ville de Rimouski ",7700,0,7700,3162590
3071-03-0811-0-000-0000,"550 rue Saint-Germain, Rimouski","Ville de Rimouski ",24500,91700,116200,2968139
3071-23-6593-0-000-0000,"rue du Capitaine","Ville de Rimouski ",1300,0,1300,3162607
3071-36-2209-0-000-0000,"596 rue Saint-Germain","Ville de Rimouski ",28300,81600,109900,2968131
3071-85-5079-0-000-0000,"25 3e avenue","Ville de Rimouski ",428800,1146800,1575600,3162587
3158-28-8148-0-000-0000,"190 rue des Glaces","Ville de Rimouski ",9800,0,9800,3180838
3158-38-8258-0-000-0000,"rue des Glaces, Rimouski","Ville de Rimouski ",6900,0,6900,3180841
3158-99-6387-0-000-0000,"40 rue du Givre","Ville de Rimouski ",37800,71900,109700,3339173
3159-50-3620-0-000-0000,"rue des Glaces","Ville de Rimouski ",1300,0,1300,3339209
3159-75-1809-0-000-0000,"rue des Flocons","Ville de Rimouski ",100,0,100,3182103
3159-80-5424-0-000-0000,"24 rue du Bois-Brûlé","Ville de Rimouski ",4200,0,4200,3339155
3159-93-1153-0-000-0000,"rue de l'Avalanche","Ville de Rimouski ",100,0,100,3339256
3165-77-0228-0-000-0000,"743 avenue de la Cathédrale","Ville de Rimouski ",11100,2700,13800,3183609
3167-02-1044-0-000-0000,"rue Sylvain-Lelièvre","Ville de Rimouski ",98900,0,98900,5794012
3167-03-6775-0-000-0000,"rue des Flandres","Ville de Rimouski ",216700,0,216700,"3852626, 5794015, 5793968, 5793951"
3167-07-5512-0-000-0000,"rue Anne-Hébert, Rimouski","Ville De Rimouski ",60900,0,60900,4785339
3167-16-2906-0-000-0000,"rue Isidore-Soucy, Rimouski","Ville De Rimouski ",41100,0,41100,4785306
3167-16-6095-0-000-0000,"rue La Bolduc, Rimouski","Ville De Rimouski ",29800,0,29800,4785300
3167-28-2106-0-000-0000,"rue La Bolduc, Rimouski","Ville De Rimouski ",20900,0,20900,4785296
3167-28-3268-0-000-0000,"rue Anne-Hébert, Rimouski","Ville De Rimouski ",61000,0,61000,5012735
3167-29-4603-0-000-0000,"rue Anne-Hébert","Ville de Rimouski ",42600,0,42600,4982542
3167-29-5515-0-000-0000,"rue Anne-Hébert, Rimouski","Ville de Rimouski ",35800,0,35800,4982541
3167-29-6327-0-000-0000,"rue Anne-Hébert, Rimouski","Ville de Rimouski ",35300,0,35300,4982540
3167-29-7038-0-000-0000,"rue Anne-Hébert, Rimouski","Ville de Rimouski ",34300,0,34300,4982539
3167-29-9236-0-000-0000,"avenue Léonidas Sud","Ville de Rimouski ",25100,0,25100,4982544
3167-39-0892-0-000-0000,"rue Anne-Hébert, Rimouski","Ville de Rimouski ",34300,0,34300,4982534
3168-12-3934-0-000-0000,"rue Madeleine-Gleason","Ville de Rimouski ",78800,0,78800,4982459
3168-22-0478-0-000-0000,"avenue Léonidas Sud, Rimouski","Ville de Rimouski ",107400,0,107400,4982456
3168-22-2043-0-000-0000,"avenue Léonidas Sud, Rimouski","Ville de Rimouski ",108100,0,108100,4982457
