Matricule,adresse,proprietaire,Valeur_terrain,Valeur_batiment,Valeur_immeuble,Description_cadastrale
3274-93-9381-0-000-0000,"boulevard Sainte-Anne","Ville de Rimouski ",34500,0,34500,2967724
3274-94-3448-0-000-0000,"rue du Fleuve","Ville de Rimouski ",38900,0,38900,"2967721, 2968076"
3358-03-5837-0-000-0000,"70 chemin Saint-Joseph","Ville de Rimouski ",30200,11700,41900,"3339313, 4497826, 3339265"
3358-45-6788-0-000-0000,"rue Adélard-Dubé","Ville de Rimouski ",30100,0,30100,3339483
3358-47-5091-0-000-0000,"route des Pionniers","Ville de Rimouski ",22000,0,22000,3339564
3358-47-6269-0-000-0000,"route des Pionniers","Ville de Rimouski ",700,0,700,3339581
3358-49-2320-0-000-0000,"route des Pionniers","Ville de Rimouski ",23500,0,23500,3339546
3358-53-6770-0-000-0000,"22 rue Lévesque","Ville de Rimouski ",43300,172000,215300,3339405
3358-74-0080-0-000-0000,"3 rue du Collège","Ville de Rimouski ",33800,312800,346600,3339450
3358-74-8703-0-000-0000,"680 route des Pionniers, Rimouski","Ville de Rimouski ",32400,31700,64100,3339464
3358-82-5818-0-000-0000,"19 rue du Pavillon","Ville de Rimouski ",110700,482900,593600,3339388
3359-14-6933-0-000-0000,"chemin de Val-Neigette, Rimouski","Ville de Rimouski ",36800,0,36800,3339686
3360-34-5266-0-000-0000,"427 route des Pionniers","Ville de Rimouski ",18100,292100,310200,3645423
3374-13-1601-0-000-0000,"rue Émilien-Amiot, Rimouski","Ville de Rimouski ",65600,0,65600,4429165
3374-33-5074-0-000-0000,"rue des Vétérans","Ville de Rimouski ",3500,0,3500,"2967553, 2967554"
3374-95-1674-0-000-0000,"avenue de la Jeunesse","Ville de Rimouski ",144000,0,144000,2967465
3374-98-8907-0-000-0000,"avenue de l'Empress, Rimouski","Ville de Rimouski ",800,0,800,2967389
3375-07-9762-0-000-0000,"avenue du Père-Nouvel, Rimouski","Ville de Rimouski ",700,0,700,2968092
3375-18-8639-0-000-0000,"rue du Phare","Ville de Rimouski ",41500,0,41500,2967341
3375-26-5214-0-000-0000,"rue du Phare, Rimouski","Ville de Rimouski ",100,0,100,2967437
3375-44-7581-0-000-0000,"avenue du Père-Nouvel","Ville de Rimouski ",12100,0,12100,2967334
3375-57-8542-0-000-0000,"rue du Fleuve","Ville de Rimouski ",69300,0,69300,2967094
3375-70-4296-0-000-0000,"avenue du Père-Nouvel, Rimouski","Ville de Rimouski ",100,0,100,2967439
3375-72-4817-0-000-0000,"rue du Parc","Ville de Rimouski ",57600,0,57600,2967242
3375-91-8397-0-000-0000,"311 - 315 avenue Thomas-Dionne","Ville de Rimouski ",582000,1549900,2131900,2967296
3474-08-2919-0-000-0000,"avenue du Père-Nouvel, Rimouski","Ville de Rimouski ",2800,0,2800,4303227
3474-14-9611-0-000-0000,"400 avenue J.-Roger-Lebel","Ville de Rimouski ",170800,1676400,1847200,"2967461, 2967463-P"
3474-34-7339-0-000-0000,"avenue du Citadelle","Ville de Rimouski ",600,0,600,2967415
3474-44-7110-0-000-0000,"avenue du Père-Nouvel","Ville de Rimouski ",11000,0,11000,2967400
3474-73-1671-0-000-0000,"rue du Golf","Ville de Rimouski ",100,0,100,5943370
3475-12-2662-0-000-0000,"avenue Pierre-Rouleau, Rimouski","Ville de Rimouski ",28600,0,28600,4250266
3475-28-0029-0-000-0000,"Emprise chemin de fer","Ville de Rimouski ",2500,0,2500,2968000-P
3476-44-2968-0-000-0000,"1350 rue du Phare","Ville de Rimouski ",7100,0,7100,"2967115, 2967117, 2968075"
